Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,26.660000,27.139999,26.650000,26.730000,26.652416,88900
2018-01-17,26.860001,26.860001,26.139999,26.440001,26.363260,162300
2018-01-18,26.450001,26.500000,25.969999,26.110001,26.034218,159300
2018-01-19,26.080000,26.480000,25.709999,26.110001,26.034218,175900
2018-01-22,26.080000,26.389999,25.790001,26.350000,26.273521,86800
2018-01-23,26.370001,26.650000,25.950001,26.610001,26.532766,53700
2018-01-24,26.770000,27.230000,26.559999,27.110001,27.031315,167500
2018-01-25,27.160000,27.250000,26.730000,26.980000,26.901691,190800
2018-01-26,27.100000,27.670000,26.620001,26.990000,26.911663,73400
2018-01-29,27.000000,27.010000,26.760000,26.760000,26.682331,435000
2018-01-30,26.690001,26.910000,26.660000,26.830000,26.752127,125100
2018-01-31,26.889999,27.000000,26.240000,26.629999,26.552708,316600
2018-02-01,26.510000,26.700001,26.080000,26.469999,26.393171,112600
2018-02-02,26.450001,26.600000,26.190001,26.290001,26.213696,81700
2018-02-05,26.230000,26.580000,25.480000,25.600000,25.525698,207800
2018-02-06,25.270000,26.059999,25.150000,25.860001,25.784943,169000
2018-02-07,25.760000,26.350000,25.549999,26.250000,26.173811,125300
2018-02-08,26.320000,26.320000,25.799999,25.840000,25.765001,84200
2018-02-09,25.959999,25.959999,25.299999,25.770000,25.770000,107400
2018-02-12,25.690001,25.770000,25.330000,25.549999,25.549999,75400
2018-02-13,25.459999,25.799999,25.260000,25.520000,25.520000,70900
2018-02-14,25.309999,25.680000,25.299999,25.430000,25.430000,80800
